make,condition,fuel_type,color,transmission,drive_unit,segment,priceUSD,year,mileage(kilometers),volume(cm3)
renault,with mileage,petrol,green,mechanics,front-wheel drive,D,3200,2000,488900.0,2000
audi,with mileage,petrol,green,mechanics,front-wheel drive,D,450,1984,150000.0,1800
volkswagen,with mileage,diesel,silver,mechanics,front-wheel drive,D,8350,2005,309000.0,1900
porsche,with mileage,petrol,black,auto,all-wheel drive,J,8000,2004,220000.0,4500
lada-vaz,with mileage,petrol,green,mechanics,rear drive,B,1500,1977,123000.0,1300
mercedes-benz,with mileage,petrol,black,auto,rear drive,E,1500,1992,500000.0,2300
citroen,with mileage,petrol,red,auto,front-wheel drive,C,2300,1998,260000.0,1800
volkswagen,with mileage,petrol,black,auto,front-wheel drive,D,13500,2015,73000.0,1800
renault,with mileage,petrol,black,mechanics,front-wheel drive,B,1600,2001,255000.0,1400
opel,with mileage,petrol,gray,auto,front-wheel drive,M,9000,2011,10.0,1800
renault,with mileage,diesel,gray,mechanics,front-wheel drive,M,3450,2000,335000.0,1900
opel,with mileage,diesel,blue,mechanics,front-wheel drive,C,3650,2001,342000.0,2000
gaz,with mileage,petrol,black,mechanics,rear drive,E,600,1999,400000.0,2450
peugeot,with mileage,petrol,gray,mechanics,front-wheel drive,D,2500,2000,340000.0,2000
bmw,with mileage,diesel,black,auto,rear drive,E,6900,2002,380000.0,3000
lada-vaz,with mileage,petrol,red,mechanics,rear drive,B,700,1980,104000.0,1300
peugeot,with mileage,petrol,burgundy,mechanics,front-wheel drive,C,5900,2011,130000.0,1600
chevrolet,with mileage,petrol,black,auto,front-wheel drive,C,8750,2013,100000.0,1800
jaguar,with mileage,petrol,other,auto,rear drive,D,10200,2008,190000.0,4200
renault,with mileage,petrol,green,mechanics,front-wheel drive,D,1700,1996,300000.0,2000
toyota,with mileage,diesel,silver,auto,front-wheel drive,J,21900,2006,230000.0,4200
peugeot,with mileage,diesel,gray,mechanics,front-wheel drive,D,4800,2004,293973.0,2000
opel,with mileage,diesel,brown,auto,part-time four-wheel drive,J,13800,2012,142000.0,2200
volvo,with mileage,diesel,black,mechanics,front-wheel drive,E,14999,2016,117000.0,2000
ford,with mileage,diesel,brown,mechanics,front-wheel drive,D,13100,2015,150000.0,1500
lada-vaz,with mileage,petrol,silver,mechanics,part-time four-wheel drive,J,3000,2005,117000.0,1700
rover,with mileage,petrol,blue,mechanics,front-wheel drive,E,3450,2000,320000.0,1800
ford,with mileage,petrol,purple,mechanics,front-wheel drive,C,700,1997,220000.0,1300
peugeot,with mileage,diesel,silver,mechanics,front-wheel drive,D,2800,1998,326471.0,1900
volkswagen,with mileage,petrol,gray,mechanics,front-wheel drive,C,462,1988,524703.0,1576
bmw,with mileage,diesel,black,auto,rear drive,E,12500,2004,171000.0,3000
bmw,with mileage,petrol,black,mechanics,rear drive,E,1899,1995,299000.0,2000
mercedes-benz,with mileage,petrol,blue,auto,rear drive,S,6500,1996,268300.0,3200
volkswagen,with mileage,diesel,white,mechanics,front-wheel drive,M,8350,2010,165000.0,1900
volkswagen,with mileage,diesel,black,mechanics,front-wheel drive,D,13072,2010,266500.0,2000
renault,with mileage,diesel,white,mechanics,front-wheel drive,C,3950,2007,233516.0,1500
bmw,with mileage,diesel,black,auto,all-wheel drive,J,29950,2012,128000.0,3000
mercedes-benz,with mileage,diesel,gray,mechanics,front-wheel drive,D,11800,2013,93000.0,1500
chrysler,with mileage,petrol,blue,auto,front-wheel drive,M,1850,1999,190000.0,2400
skoda,with mileage,petrol,blue,mechanics,front-wheel drive,B,2700,2004,208000.0,1200
bmw,with mileage,petrol,blue,mechanics,rear drive,E,4200,1998,312000.0,2500
ford,with mileage,diesel,red,mechanics,front-wheel drive,C,700,1992,450000.0,1800
citroen,with mileage,diesel,black,mechanics,front-wheel drive,M,6000,2004,400000.0,2000
renault,with mileage,diesel,gray,mechanics,front-wheel drive,D,9950,2014,218812.0,1500
ford,with mileage,petrol,black,mechanics,rear drive,D,600,1988,500000.0,2000
nissan,with mileage,petrol,purple,auto,front-wheel drive,J,11000,2012,140000.0,1600
luaz,with mileage,petrol,other,mechanics,part-time four-wheel drive,J,951,1979,25000.0,1200
opel,with mileage,diesel,black,mechanics,front-wheel drive,M,5500,2003,212000.0,2200
opel,with mileage,diesel,silver,mechanics,front-wheel drive,B,4450,2008,252000.0,1300
kia,with mileage,diesel,other,mechanics,front-wheel drive,C,6000,2010,174000.0,1600
bmw,with mileage,diesel,black,auto,front-wheel drive,J,24800,2011,225000.0,4000
land-rover,with mileage,petrol,blue,auto,all-wheel drive,J,10900,2007,203000.0,4200
citroen,with mileage,diesel,green,mechanics,front-wheel drive,D,1000,1997,411000.0,1900
audi,with mileage,petrol,gray,auto,all-wheel drive,D,36500,2015,117000.0,2500
peugeot,with mileage,petrol,silver,mechanics,front-wheel drive,D,1850,1996,280000.0,1800
mercedes-benz,with mileage,diesel,burgundy,mechanics,rear drive,E,1212,1984,380000.0,3000
ford,with mileage,diesel,gray,mechanics,front-wheel drive,C,550,1992,111111.0,1800
kia,with mileage,petrol,other,mechanics,front-wheel drive,D,2350,2000,271000.0,1500
mazda,with mileage,petrol,white,mechanics,front-wheel drive,C,550,1988,1111111.0,1800
mercedes-benz,with mileage,petrol,silver,auto,rear drive,E,7000,2003,360000.0,1800
mercedes-benz,with mileage,petrol,gray,auto,rear drive,D,14900,2012,110000.0,1600
volkswagen,with mileage,diesel,silver,mechanics,front-wheel drive,M,26550,2015,166500.0,2000
fiat,with mileage,petrol,blue,mechanics,front-wheel drive,C,2000,1999,1111111.0,1600
audi,with mileage,petrol,green,auto,front-wheel drive,D,2800,1996,391000.0,2600
bmw,with mileage,petrol,black,auto,all-wheel drive,J,12850,2008,250000.0,4800
volkswagen,with mileage,diesel,white,auto,part-time four-wheel drive,J,11500,2009,180000.0,2000
bmw,with mileage,diesel,brown,auto,all-wheel drive,J,20000,2010,217000.0,3000
chevrolet,with mileage,petrol,blue,mechanics,front-wheel drive,C,4000,2008,160000.0,1400
kia,with mileage,petrol,blue,mechanics,front-wheel drive,D,333,1993,4528.0,1600
bmw,with mileage,petrol,white,auto,rear drive,E,17000,2011,170000.0,2500
