iter	RMSE
0	7807.731313
1	7406.225258
2	7042.911428
3	6711.797767
4	6401.372913
5	6123.56558
6	5874.487804
7	5640.060262
8	5429.492167
9	5235.277433
10	5063.858511
11	4911.037381
12	4765.132919
13	4636.041584
14	4512.765668
15	4404.898447
16	4302.256379
17	4210.882442
18	4123.625785
19	4046.880633
20	3972.914033
21	3908.926999
22	3853.141989
23	3796.722264
24	3743.049722
25	3700.952663
26	3657.19252
27	3617.73928
28	3581.108636
29	3544.094251
30	3513.302137
31	3485.183927
32	3459.430981
33	3432.689934
34	3403.603877
35	3377.50633
36	3359.480217
37	3340.374056
38	3321.527409
39	3307.395304
40	3289.790367
41	3270.432308
42	3256.342327
43	3240.806207
44	3226.039465
45	3210.991826
46	3198.926317
47	3186.279497
48	3174.951415
49	3156.886142
50	3146.667612
51	3136.713883
52	3122.048822
53	3114.722999
54	3104.669172
55	3092.181748
56	3083.811659
57	3076.790338
58	3067.31243
59	3055.878745
60	3046.824747
61	3037.010562
62	3030.45017
63	3022.206695
64	3015.229849
65	3005.57712
66	3000.516761
67	2992.877441
68	2982.217734
69	2972.726651
70	2968.138472
71	2958.147129
72	2953.307169
73	2946.252285
74	2941.535231
75	2937.231185
76	2930.51655
77	2925.820295
78	2918.794581
79	2913.087379
80	2904.518273
81	2895.238463
82	2889.822696
83	2881.284346
84	2876.025624
85	2872.436378
86	2868.828779
87	2861.958358
88	2859.315896
89	2854.36957
90	2848.975763
91	2840.303794
92	2832.99917
93	2828.169997
94	2822.884076
95	2816.201475
96	2813.035325
97	2809.754181
98	2804.647677
99	2799.524535
100	2793.309748
101	2788.761103
102	2786.0193
103	2781.500837
104	2776.039999
105	2772.211376
106	2769.581664
107	2764.882159
108	2758.898325
109	2754.2934
110	2750.755881
111	2748.36386
112	2744.876517
113	2742.275402
114	2739.15188
115	2735.164287
116	2727.822067
117	2726.183621
118	2722.792363
119	2716.843585
120	2711.783443
121	2708.316538
122	2705.614973
123	2702.476635
124	2698.329406
125	2694.143514
126	2691.357445
127	2685.84196
128	2682.139936
129	2679.983145
130	2676.503677
131	2673.663029
132	2670.869141
133	2667.18412
134	2662.331576
135	2659.234612
136	2655.458468
137	2653.603908
138	2647.717439
139	2642.433707
140	2638.758155
141	2637.199716
142	2634.113714
143	2631.401398
144	2628.7406
145	2624.650937
146	2622.784546
147	2621.400614
148	2616.025337
149	2613.89736
150	2611.136046
151	2606.7956
152	2605.3537
153	2602.228366
154	2598.326424
155	2594.999483
156	2593.336562
157	2587.536966
158	2585.265051
159	2579.954436
160	2576.072681
161	2573.823221
162	2570.890254
163	2568.712668
164	2566.700608
165	2563.083721
166	2559.919387
167	2556.547161
168	2553.105896
169	2550.734923
170	2549.967634
171	2545.661102
172	2544.928504
173	2543.24835
174	2540.384691
175	2537.104873
176	2536.398503
177	2534.86297
178	2533.048062
179	2529.872437
180	2527.298379
181	2525.076284
182	2524.415114
183	2521.741756
184	2518.40684
185	2515.683626
186	2513.309407
187	2511.493952
188	2510.162895
189	2507.481145
190	2505.70877
191	2503.839333
192	2503.209774
