iter	Passed	Remaining
0	50	4983
1	100	4948
2	147	4756
3	191	4588
4	241	4591
5	287	4497
6	334	4449
7	378	4352
8	426	4309
9	473	4257
10	520	4208
11	563	4132
12	607	4068
13	654	4018
14	695	3942
15	738	3875
16	780	3810
17	822	3748
18	866	3695
19	909	3638
20	953	3588
21	995	3530
22	1044	3496
23	1098	3477
24	1143	3429
25	1190	3388
26	1234	3336
27	1284	3303
28	1325	3244
29	1370	3198
30	1416	3153
31	1463	3109
32	1506	3057
33	1551	3012
34	1599	2970
35	1644	2923
36	1689	2877
37	1736	2832
38	1777	2780
39	1827	2741
40	1871	2693
41	1920	2651
42	1962	2600
43	2009	2558
44	2053	2509
45	2098	2463
46	2143	2417
47	2195	2378
48	2240	2332
49	2286	2286
50	2335	2243
51	2379	2196
52	2426	2152
53	2468	2103
54	2523	2064
55	2568	2018
56	2615	1973
57	2658	1925
58	2702	1878
59	2749	1833
60	2795	1787
61	2838	1739
62	2886	1695
63	2930	1648
64	2977	1603
65	3022	1556
66	3073	1513
67	3119	1467
68	3160	1419
69	3207	1374
70	3254	1329
71	3316	1289
72	3366	1245
73	3408	1197
74	3454	1151
75	3498	1104
76	3545	1058
77	3587	1011
78	3631	965
79	3675	918
80	3723	873
81	3769	827
82	3820	782
83	3864	736
84	3914	690
85	3957	644
86	4007	598
87	4052	552
88	4108	507
89	4163	462
90	4214	416
91	4260	370
92	4312	324
93	4370	278
94	4424	232
95	4471	186
96	4523	139
97	4570	93
98	4613	46
99	4663	0
